sample_index,last_5_mult_1,last_5_mult_2,last_5_mult_3,last_5_mult_4,last_5_mult_5,last_10_mult_1,last_10_mult_2,last_10_mult_3,last_10_mult_4,last_10_mult_5,last_10_mult_6,last_10_mult_7,last_10_mult_8,last_10_mult_9,last_10_mult_10,last_20_mult_1,last_20_mult_2,last_20_mult_3,last_20_mult_4,last_20_mult_5,last_20_mult_6,last_20_mult_7,last_20_mult_8,last_20_mult_9,last_20_mult_10,last_20_mult_11,last_20_mult_12,last_20_mult_13,last_20_mult_14,last_20_mult_15,last_20_mult_16,last_20_mult_17,last_20_mult_18,last_20_mult_19,last_20_mult_20,moving_average_5,moving_average_10,moving_average_20,standard_deviation_5,standard_deviation_10,standard_deviation_20,variance_20,max_20,min_20,median_20,volatility,range_20,skewness,kurtosis,entropy,very_low_count_10,low_count_10,medium_count_10,high_count_10,very_high_count_10,freq_very_low,freq_low,freq_medium,freq_high,freq_very_high,streak_low,streak_high,time_since_high,time_since_very_high,streak_medium,streak_very_low,momentum_5,momentum_10,ema_5,ema_10,slope_5,slope_10,label,category
10,0.225893,0.254601,0.026539,0.112655,0.204967,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.02288,0.04272,0.11669,0.038544,0.345577,1.0,1.0,1.0,0.01,0.0216,0.624831,1.0,1.0,1.0,0.879203,0.3,0.2,0.4,0.0,0.1,0.2,0.25,0.4,0.05,0.1,0.0,0.0,0.4,0.4,0.05,0.0,-0.803925,-0.633902,0.022754,0.029129,-0.0414,-0.188315,4,VERY_HIGH
11,0.254601,0.026539,0.112655,0.204967,0.635456,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.05454,0.05908,0.12455,0.332116,0.404368,1.0,1.0,1.0,0.01,0.0216,0.584962,1.0,1.0,1.0,0.91352,0.3,0.2,0.3,0.0,0.2,0.2,0.25,0.35,0.05,0.15,0.0,0.05,0.0,0.0,0.0,0.0,-0.562104,-0.525652,0.077896,0.088141,0.646,-0.057648,0,VERY_LOW
12,0.026539,0.112655,0.204967,0.635456,0.077668,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.05094,0.03561,0.124455,0.34,0.25413,1.0,1.0,1.0,0.01,0.0216,0.585455,1.0,1.0,1.0,0.91352,0.4,0.2,0.3,0.0,0.1,0.25,0.2,0.35,0.05,0.15,0.05,0.0,0.05,0.05,0.0,0.05,-0.590695,-0.713872,0.053932,0.04338,0.3516,0.146727,2,MEDIUM
13,0.112655,0.204967,0.635456,0.077668,0.273887,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.05574,0.03755,0.0417,0.329227,0.252025,0.30267,0.091609,0.249,0.01,0.0216,0.29033,0.239,1.0,0.554142,0.879203,0.4,0.1,0.4,0.0,0.1,0.25,0.2,0.4,0.05,0.1,0.0,0.0,0.1,0.1,0.05,0.0,0.336691,-0.09952,0.048446,0.041776,0.0512,0.120109,4,VERY_HIGH
14,0.204967,0.635456,0.077668,0.273887,0.646902,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.09172,0.05573,0.05077,0.409626,0.342481,0.344546,0.118712,0.249,0.01,0.02255,0.271457,0.239,0.766721,0.222563,0.889759,0.3,0.1,0.4,0.0,0.2,0.25,0.15,0.4,0.05,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.806579,0.097695,0.099036,0.069286,0.3814,0.263527,2,MEDIUM
15,0.635456,0.077668,0.273887,0.646902,0.163168,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.09082,0.05685,0.050775,0.413335,0.339138,0.344536,0.118705,0.249,0.01,0.02255,0.271422,0.239,0.766723,0.222569,0.889759,0.2,0.1,0.5,0.0,0.2,0.25,0.15,0.4,0.05,0.15,0.0,0.0,0.05,0.05,0.05,0.0,0.788676,0.119645,0.094279,0.063003,-0.2968,0.164885,0,VERY_LOW
16,0.077668,0.273887,0.646902,0.163168,0.016712,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.05566,0.0551,0.050445,0.355087,0.343805,0.345409,0.119307,0.249,0.01,0.02255,0.273889,0.239,0.764932,0.221328,0.865098,0.3,0.1,0.4,0.0,0.2,0.3,0.1,0.4,0.05,0.15,0.05,0.0,0.1,0.1,0.0,0.05,0.10338,0.092279,0.043763,0.054049,-0.0422,0.076582,0,VERY_LOW
17,0.273887,0.646902,0.163168,0.016712,0.034093,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.05514,0.05304,0.050465,0.356636,0.348576,0.345352,0.119268,0.249,0.01,0.02255,0.273736,0.239,0.765075,0.221421,0.865098,0.4,0.1,0.3,0.0,0.2,0.3,0.1,0.4,0.05,0.15,0.1,0.0,0.15,0.15,0.0,0.1,0.092638,0.051025,0.035841,0.043526,-0.4662,-0.001164,3,HIGH
18,0.646902,0.163168,0.016712,0.034093,0.476638,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.06604,0.06089,0.05385,0.358131,0.344945,0.346281,0.11991,0.249,0.01,0.023,0.257219,0.239,0.70664,0.179363,0.91567,0.3,0.1,0.3,0.1,0.2,0.3,0.1,0.35,0.1,0.15,0.0,0.05,0.0,0.2,0.0,0.0,0.22637,0.130734,0.075081,0.052679,-0.4466,-0.016715,0,VERY_LOW
19,0.163168,0.016712,0.034093,0.476638,0.002161,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.02872,0.06022,0.053205,0.154026,0.347225,0.347998,0.121103,0.249,0.01,0.0221,0.261628,0.239,0.703923,0.177198,0.91567,0.4,0.0,0.3,0.1,0.2,0.35,0.1,0.3,0.1,0.15,0.05,0.0,0.05,0.25,0.0,0.05,-0.460201,0.131849,0.03031,0.046134,0.1136,-0.130909,0,VERY_LOW
20,0.016712,0.034093,0.476638,0.002161,0.035941,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.02684,0.05883,0.050775,0.157431,0.351282,0.350761,0.123033,0.249,0.01,0.019,0.276326,0.239,0.72392,0.187953,0.865098,0.5,0.0,0.2,0.1,0.2,0.4,0.1,0.3,0.05,0.15,0.1,0.0,0.1,0.3,0.0,0.1,-0.471393,0.158641,0.02277,0.061521,0.0008,-0.229758,3,HIGH
21,0.034093,0.476638,0.002161,0.035941,0.557972,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.0508,0.05323,0.056155,0.250952,0.3077,0.359598,0.12931,0.249,0.01,0.019,0.256147,0.239,0.611975,0.098876,0.906015,0.5,0.0,0.2,0.2,0.1,0.4,0.1,0.25,0.1,0.15,0.0,0.05,0.0,0.35,0.0,0.0,-0.095361,-0.052088,0.058832,0.050919,0.3196,0.018897,2,MEDIUM
22,0.476638,0.002161,0.035941,0.557972,0.16823,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.0528,0.05397,0.04479,0.243858,0.305552,0.284743,0.081079,0.1967,0.01,0.019,0.254292,0.1867,0.707862,0.178685,0.881353,0.4,0.0,0.3,0.2,0.1,0.4,0.1,0.3,0.1,0.1,0.0,0.0,0.05,0.4,0.05,0.0,0.178835,0.204956,0.05674,0.048429,-0.0314,-0.067406,1,LOW
23,0.002161,0.035941,0.557972,0.16823,0.106094,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.0381,0.05207,0.04481,0.232122,0.309755,0.284693,0.08105,0.1967,0.01,0.019,0.254134,0.1867,0.707931,0.17875,0.881353,0.4,0.1,0.2,0.2,0.1,0.4,0.1,0.3,0.1,0.1,0.05,0.0,0.1,0.45,0.0,0.0,-0.149743,0.162017,0.032764,0.064285,0.0446,-0.133394,0,VERY_LOW
24,0.035941,0.557972,0.16823,0.106094,0.032229,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.0,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.0384,0.03356,0.044645,0.231235,0.197946,0.285149,0.08131,0.1967,0.01,0.019,0.255481,0.1867,0.706889,0.177987,0.881353,0.5,0.1,0.2,0.2,0.0,0.4,0.1,0.3,0.1,0.1,0.1,0.0,0.15,0.5,0.0,0.05,-0.139881,-0.248292,0.025933,0.031113,-0.2294,0.015297,0,VERY_LOW
